quote	title	from	order	delay
And swear,	Song: Go and catch a falling star	John Donne	16	1.5
No where	Song: Go and catch a falling star	John Donne	17	1.5
Lives a woman true, and fair.	Song: Go and catch a falling star	John Donne	18	3
If thou find'st one, let me know,	Song: Go and catch a falling star	John Donne	19	2.5
Such a pilgrimage were sweet;	Song: Go and catch a falling star	John Donne	20	2
Yet do not, I would not go,	Song: Go and catch a falling star	John Donne	21	3
Though at next door we might meet;	Song: Go and catch a falling star	John Donne	22	2.5
Though she were true, when you met her,	Song: Go and catch a falling star	John Donne	23	2.5
And last, till you write your letter,	Song: Go and catch a falling star	John Donne	24	2.5
Yet she	Song: Go and catch a falling star	John Donne	25	1.5
Will be	Song: Go and catch a falling star	John Donne	26	1.5
False, ere I come, to two, or three.	Song: Go and catch a falling star	John Donne	27	4
'Twas brillig, and the slithy toves	Jabberwocky	Lewis Caroll	1	2
Did gyre and gimble in the wabe:	Jabberwocky	Lewis Caroll	2	2
All mimsy were the borogoves,	Jabberwocky	Lewis Caroll	3	2
And the mome raths outgrabe.	Jabberwocky	Lewis Caroll	4	3
Beware the Jabberwock, my son!	Jabberwocky	Lewis Caroll	5	2.5
The jaws that bite, the claws that catch!	Jabberwocky	Lewis Caroll	6	2
Beware the Jubjub bird, and shun	Jabberwocky	Lewis Caroll	7	2
The frumious Bandersnatch!	Jabberwocky	Lewis Caroll	8	3
He took his vorpal sword in hand:	Jabberwocky	Lewis Caroll	9	2
Long time the manxome foe he sought --	Jabberwocky	Lewis Caroll	10	3
So rested he by the Tumtum tree,	Jabberwocky	Lewis Caroll	11	2
And stood awhile in thought.	Jabberwocky	Lewis Caroll	12	3.5
And, as in uffish thought he stood,	Jabberwocky	Lewis Caroll	13	2
The Jabberwock, with eyes of flame,	Jabberwocky	Lewis Caroll	14	2
Came whiffling through the tulgey wood,	Jabberwocky	Lewis Caroll	15	2.2
And burbled as it came!	Jabberwocky	Lewis Caroll	16	3
One, two! One, two! And through and through	Jabberwocky	Lewis Caroll	17	2
The vorpal blade went snicker-snack!	Jabberwocky	Lewis Caroll	18	3
He left it dead, and with its head	Jabberwocky	Lewis Caroll	19	2
He went galumphing back.	Jabberwocky	Lewis Caroll	20	3.6
And, has thou slain the Jabberwock?	Jabberwocky	Lewis Caroll	21	2.5
Come to my arms, my beamish boy!	Jabberwocky	Lewis Caroll	22	2
O frabjous day! Callooh! Callay!	Jabberwocky	Lewis Caroll	23	1.8
He chortled in his joy.	Jabberwocky	Lewis Caroll	24	3
'Twas brillig, and the slithy toves	Jabberwocky	Lewis Caroll	25	2
Did gyre and gimble in the wabe;	Jabberwocky	Lewis Caroll	26	2
All mimsy were the borogoves,	Jabberwocky	Lewis Caroll	27	2
And the mome raths outgrabe.	Jabberwocky	Lewis Caroll	28	3
